"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C33","0603","-536.63mil","-642.027mil","-536.498mil","-642.696mil","-536.63mil","-603.641mil","T","270.00","4pF"
"C34","0603","-590.722mil","-593.997mil","-590.59mil","-594.666mil","-590.722mil","-555.611mil","T","270.00","4pF"
"C31","CAP_0402","-1182.925mil","-844.22mil","-1182.925mil","-844.22mil","-1182.925mil","-862.33mil","T","90.00",""
"C32","CAP_0402","-1182.299mil","-921.544mil","-1182.299mil","-921.544mil","-1182.299mil","-903.434mil","T","270.00",""
"R9","RES_0402","-516.609mil","-429.933mil","-516.609mil","-429.933mil","-498.892mil","-429.933mil","T","180.00",""
"C15","0805","-911.299mil","-342.365mil","-911.299mil","-342.664mil","-911.299mil","-380.066mil","T","90.00",""
"U3","QFP50P1200X1200X160-64N","-887.003mil","-691.564mil","-887.003mil","-691.564mil","-739.003mil","-470.564mil","T","270.00","Flash MCU"
"ICSP1","TC2050-IDC-NL","-229.028mil","-1061.401mil","-79.028mil","-1061.401mil","-129.028mil","-1086.401mil","B","180.00","TC2050"
"ICSP3","TC2050-IDC-NL","-738.577mil","-1055.899mil","-588.577mil","-1055.899mil","-638.577mil","-1080.899mil","B","180.00","TC2050"
"F2","FIDUCIAL_1MM","-1015.27mil","-666.868mil","-1015.27mil","-666.868mil","-1015.27mil","-666.868mil","T","0.00",""
"SD1","MICRO_SD_WE","-322.076mil","-656.176mil","-187.233mil","-608.539mil","-195.107mil","-738.46mil","B","90.00","MICRO SD"
"ICSP2","TC2050-IDC-NL","-1252.48mil","-1056.932mil","-1102.48mil","-1056.932mil","-1152.48mil","-1081.932mil","B","180.00","TC2050"

